"### รายการธุรกรรมทั้งหมด"
"ลำดับ","เวลา","ประเภท","จาก","ไป","จำนวน(บาท)","หมายเหตุ","Σกระเป๋า+กอง หลังรายการ","เบิกสุทธิ หลังรายการ","ส่วนต่าง (ตรวจสมการ)"
"340","17/8/2569 01:18:22","ลงกอง","บอย","กองกลาง","60.00","ตาม ฿100","8500.00","8500.00","0"
"341","17/8/2569 01:19:20","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","1520.00","","8500.00","8500.00","0"
"342","17/8/2569 01:20:32","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","8500.00","8500.00","0"
"343","17/8/2569 01:20:50","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","8500.00","8500.00","0"
"344","17/8/2569 01:21:47","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","8500.00","8500.00","0"
"345","17/8/2569 01:21:58","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","8500.00","8500.00","0"
"346","17/8/2569 01:22:44","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","8500.00","8500.00","0"
"347","17/8/2569 01:25:43","ลงกอง","บอย","กองกลาง","40.00","ขึ้นเป็น ฿40","8500.00","8500.00","0"
"348","17/8/2569 01:26:18","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","8500.00","8500.00","0"
"349","17/8/2569 01:27:21","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","8500.00","8500.00","0"
"350","17/8/2569 01:27:51","ลงกอง","แนน","กองกลาง","80.00","ขึ้นเป็น ฿80","8500.00","8500.00","0"
"351","17/8/2569 01:28:45","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿80","8500.00","8500.00","0"
"352","17/8/2569 01:29:10","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿80","8500.00","8500.00","0"
"353","17/8/2569 01:29:44","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿80","8500.00","8500.00","0"
"354","17/8/2569 01:32:15","ลงกอง","บอย","กองกลาง","40.00","ขึ้นเป็น ฿40","8500.00","8500.00","0"
"355","17/8/2569 01:33:29","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","8500.00","8500.00","0"
"356","17/8/2569 01:33:49","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","8500.00","8500.00","0"
"357","17/8/2569 01:33:59","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","8500.00","8500.00","0"
"358","17/8/2569 01:37:14","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","8500.00","8500.00","0"
"359","17/8/2569 01:38:12","ลงกอง","ป๋องแป๋ง","กองกลาง","140.00","ขึ้นเป็น ฿140","8500.00","8500.00","0"
"360","17/8/2569 01:40:03","เติมเงิน (อนุมัติแล้ว)","BANK","แนน","500.00","ขอเติมเงิน","9000.00","9000.00","0"
"361","17/8/2569 01:40:47","ลงกอง","แนน","กองกลาง","140.00","ตาม ฿140","9000.00","9000.00","0"
"362","17/8/2569 01:41:11","ลงกอง","บอย","กองกลาง","140.00","ตาม ฿140","9000.00","9000.00","0"
"363","17/8/2569 01:42:06","ลงกอง","มิ้นท์","กองกลาง","60.00","ตาม ฿140","9000.00","9000.00","0"
"364","17/8/2569 01:45:50","รับเงินกองกลาง","กองกลาง","บอย","1240.00","","9000.00","9000.00","0"
"365","17/8/2569 01:47:17","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","9000.00","9000.00","0"
"366","17/8/2569 01:48:17","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","9000.00","9000.00","0"
"367","17/8/2569 01:48:40","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","9000.00","9000.00","0"
"368","17/8/2569 01:49:16","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","9000.00","9000.00","0"
"369","17/8/2569 01:49:49","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","9000.00","9000.00","0"
"370","17/8/2569 01:51:40","ลงกอง","มิ้นท์","กองกลาง","100.00","ขึ้นเป็น ฿100","9000.00","9000.00","0"
"371","17/8/2569 01:53:28","ลงกอง","อาร์ต","กองกลาง","100.00","ตาม ฿100","9000.00","9000.00","0"
"372","17/8/2569 01:54:19","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","9000.00","9000.00","0"
"373","17/8/2569 01:57:26","ลงกอง","บอย","กองกลาง","60.00","ขึ้นเป็น ฿60","9000.00","9000.00","0"
"374","17/8/2569 01:57:55","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","9000.00","9000.00","0"
"375","17/8/2569 01:58:13","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","9000.00","9000.00","0"
"376","17/8/2569 01:59:24","ลงกอง","บอย","กองกลาง","20.00","ตาม ฿80","9000.00","9000.00","0"
"377","17/8/2569 02:01:34","รับเงินกองกลาง","กองกลาง","มิ้นท์","740.00","","9000.00","9000.00","0"
"378","17/8/2569 02:02:59","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","9000.00","9000.00","0"
"379","17/8/2569 02:03:44","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","9000.00","9000.00","0"
"380","17/8/2569 02:03:53","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","9000.00","9000.00","0"
"381","17/8/2569 02:04:18","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","9000.00","9000.00","0"
"382","17/8/2569 02:04:55","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","9000.00","9000.00","0"
"383","17/8/2569 02:07:04","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","9000.00","9000.00","0"
"384","17/8/2569 02:09:47","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","9000.00","9000.00","0"
"385","17/8/2569 02:10:08","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ตาม ฿80","9000.00","9000.00","0"
"386","17/8/2569 02:10:59","ลงกอง","อาร์ต","กองกลาง","40.00","ตาม ฿80","9000.00","9000.00","0"
"387","17/8/2569 02:11:56","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ขึ้นเป็น ฿100","9000.00","9000.00","0"
"388","17/8/2569 02:12:58","เติมเงิน (อนุมัติแล้ว)","BANK","อาร์ต","500.00","ขอเติมเงิน","9500.00","9500.00","0"
"389","17/8/2569 02:13:13","ลงกอง","อาร์ต","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"390","17/8/2569 02:14:10","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"391","17/8/2569 02:15:42","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","9500.00","9500.00","0"
"392","17/8/2569 02:16:19","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","9500.00","9500.00","0"
"393","17/8/2569 02:17:54","รับเงินกองกลาง","กองกลาง","อาร์ต","920.00","","9500.00","9500.00","0"
"394","17/8/2569 02:19:28","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","9500.00","9500.00","0"
"395","17/8/2569 02:20:39","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","9500.00","9500.00","0"
"396","17/8/2569 02:21:07","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","9500.00","9500.00","0"
"397","17/8/2569 02:21:54","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","9500.00","9500.00","0"
"398","17/8/2569 02:22:09","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","9500.00","9500.00","0"
"399","17/8/2569 02:22:57","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","9500.00","9500.00","0"
"400","17/8/2569 02:23:53","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"401","17/8/2569 02:24:42","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"402","17/8/2569 02:25:49","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"403","17/8/2569 02:27:09","ลงกอง","แนน","กองกลาง","60.00","ขึ้นเป็น ฿60","9500.00","9500.00","0"
"404","17/8/2569 02:28:12","ลงกอง","มิ้นท์","กองกลาง","100.00","ขึ้นเป็น ฿100","9500.00","9500.00","0"
"405","17/8/2569 02:28:57","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ตาม ฿100","9500.00","9500.00","0"
"406","17/8/2569 02:30:53","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿100","9500.00","9500.00","0"
"407","17/8/2569 02:31:52","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","9500.00","9500.00","0"
"408","17/8/2569 02:32:15","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ตาม ฿60","9500.00","9500.00","0"
"409","17/8/2569 02:32:54","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿60","9500.00","9500.00","0"
"410","17/8/2569 02:33:56","เติมเงิน (อนุมัติแล้ว)","BANK","แนน","500.00","ขอเติมเงิน","10000.00","10000.00","0"
"411","17/8/2569 02:34:25","ลงกอง","แนน","กองกลาง","100.00","ขึ้นเป็น ฿100","10000.00","10000.00","0"
"412","17/8/2569 02:35:42","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ตาม ฿100","10000.00","10000.00","0"
"413","17/8/2569 02:38:40","รับเงินกองกลาง","กองกลาง","แนน","1380.00","","10000.00","10000.00","0"
"414","17/8/2569 02:39:56","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"415","17/8/2569 02:41:14","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"416","17/8/2569 02:42:02","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"417","17/8/2569 02:42:35","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"418","17/8/2569 02:43:36","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"419","17/8/2569 02:45:13","ลงกอง","บอย","กองกลาง","40.00","ขึ้นเป็น ฿40","10000.00","10000.00","0"
"420","17/8/2569 02:46:12","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","10000.00","10000.00","0"
"421","17/8/2569 02:46:28","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"422","17/8/2569 02:46:52","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"423","17/8/2569 02:47:23","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"424","17/8/2569 02:48:17","ลงกอง","บอย","กองกลาง","20.00","ตาม ฿60","10000.00","10000.00","0"
"425","17/8/2569 02:50:45","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ขึ้นเป็น ฿100","10000.00","10000.00","0"
"426","17/8/2569 02:51:26","ลงกอง","อาร์ต","กองกลาง","100.00","ตาม ฿100","10000.00","10000.00","0"
"427","17/8/2569 02:52:29","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","10000.00","10000.00","0"
"428","17/8/2569 02:52:44","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","10000.00","10000.00","0"
"429","17/8/2569 02:54:20","ลงกอง","บอย","กองกลาง","80.00","ขึ้นเป็น ฿80","10000.00","10000.00","0"
"430","17/8/2569 02:55:05","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ตาม ฿80","10000.00","10000.00","0"
"431","17/8/2569 02:56:02","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","10000.00","10000.00","0"
"432","17/8/2569 02:56:43","ลงกอง","แนน","กองกลาง","120.00","ขึ้นเป็น ฿120","10000.00","10000.00","0"
"433","17/8/2569 02:57:46","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿120","10000.00","10000.00","0"
"434","17/8/2569 02:58:02","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿120","10000.00","10000.00","0"
"435","17/8/2569 02:59:18","ลงกอง","อาร์ต","กองกลาง","40.00","ตาม ฿120","10000.00","10000.00","0"
"436","17/8/2569 03:01:15","ลงกอง","ป๋องแป๋ง","กองกลาง","20.00","ขึ้นเป็น ฿20","10000.00","10000.00","0"
"437","17/8/2569 03:02:29","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿20","10000.00","10000.00","0"
"438","17/8/2569 03:04:03","ลงกอง","บอย","กองกลาง","120.00","ขึ้นเป็น ฿120","10000.00","10000.00","0"
"439","17/8/2569 03:05:19","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ตาม ฿120","10000.00","10000.00","0"
"440","17/8/2569 03:05:41","ลงกอง","อาร์ต","กองกลาง","100.00","ตาม ฿120","10000.00","10000.00","0"
"441","17/8/2569 03:06:33","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","1840.00","","10000.00","10000.00","0"
"442","17/8/2569 03:07:45","ยืมเงิน","อาร์ต","ป๋องแป๋ง","200.00","ยืมสั้นๆ","10000.00","10000.00","0"
"443","17/8/2569 03:08:57","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"444","17/8/2569 03:09:39","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"445","17/8/2569 03:09:59","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"446","17/8/2569 03:11:05","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"447","17/8/2569 03:11:55","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"448","17/8/2569 03:14:28","ลงกอง","แนน","กองกลาง","60.00","ขึ้นเป็น ฿60","10000.00","10000.00","0"
"449","17/8/2569 03:14:52","ลงกอง","บอย","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"450","17/8/2569 03:15:14","ลงกอง","มิ้นท์","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"451","17/8/2569 03:15:48","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","10000.00","10000.00","0"
"452","17/8/2569 03:16:34","ลงกอง","แนน","กองกลาง","40.00","ขึ้นเป็น ฿40","10000.00","10000.00","0"
"453","17/8/2569 03:17:27","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿40","10000.00","10000.00","0"
"454","17/8/2569 03:18:38","ลงกอง","แนน","กองกลาง","40.00","ขึ้นเป็น ฿40","10000.00","10000.00","0"
"455","17/8/2569 03:19:07","ลงกอง","บอย","กองกลาง","100.00","ขึ้นเป็น ฿100","10000.00","10000.00","0"
"456","17/8/2569 03:19:57","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿100","10000.00","10000.00","0"
"457","17/8/2569 03:20:23","ลงกอง","แนน","กองกลาง","100.00","ขึ้นเป็น ฿100","10000.00","10000.00","0"
"458","17/8/2569 03:20:40","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","10000.00","10000.00","0"
"459","17/8/2569 03:20:54","รับเงินกองกลาง","กองกลาง","บอย","1020.00","","10000.00","10000.00","0"
"460","17/8/2569 03:22:35","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"461","17/8/2569 03:22:49","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"462","17/8/2569 03:24:02","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"463","17/8/2569 03:25:04","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"464","17/8/2569 03:26:07","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"465","17/8/2569 03:28:41","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","10000.00","10000.00","0"
"466","17/8/2569 03:29:06","ลงกอง","แนน","กองกลาง","120.00","ขึ้นเป็น ฿120","10000.00","10000.00","0"
"467","17/8/2569 03:29:50","ลงกอง","บอย","กองกลาง","120.00","ตาม ฿120","10000.00","10000.00","0"
"468","17/8/2569 03:31:08","ลงกอง","มิ้นท์","กองกลาง","120.00","ตาม ฿120","10000.00","10000.00","0"
"469","17/8/2569 03:33:05","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿120","10000.00","10000.00","0"
"470","17/8/2569 03:33:59","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","10000.00","10000.00","0"
"471","17/8/2569 03:35:32","ลงกอง","แนน","กองกลาง","80.00","ตาม ฿80","10000.00","10000.00","0"
"472","17/8/2569 03:35:52","ลงกอง","บอย","กองกลาง","140.00","ขึ้นเป็น ฿140","10000.00","10000.00","0"
"473","17/8/2569 03:36:56","ลงกอง","มิ้นท์","กองกลาง","60.00","ตาม ฿140","10000.00","10000.00","0"
"474","17/8/2569 03:37:19","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿140","10000.00","10000.00","0"
"475","17/8/2569 03:38:47","ลงกอง","มิ้นท์","กองกลาง","40.00","ขึ้นเป็น ฿40","10000.00","10000.00","0"
"476","17/8/2569 03:39:40","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","10000.00","10000.00","0"
"477","17/8/2569 03:42:37","รับเงินกองกลาง","กองกลาง","มิ้นท์","1280.00","","10000.00","10000.00","0"
"478","17/8/2569 03:44:02","ยืมเงิน","แนน","มิ้นท์","300.00","ยืมก่อนนะ","10000.00","10000.00","0"
"479","17/8/2569 03:45:26","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"480","17/8/2569 03:46:20","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"481","17/8/2569 03:47:01","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"482","17/8/2569 03:48:06","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"483","17/8/2569 03:49:19","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","10000.00","10000.00","0"
"484","17/8/2569 03:50:29","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","10000.00","10000.00","0"
"485","17/8/2569 03:51:21","ลงกอง","ป๋องแป๋ง","กองกลาง","140.00","ขึ้นเป็น ฿140","10000.00","10000.00","0"
"486","17/8/2569 03:52:17","เติมเงิน (อนุมัติแล้ว)","BANK","อาร์ต","500.00","ขอเติมเงิน","10500.00","10500.00","0"
"487","17/8/2569 03:53:00","ลงกอง","อาร์ต","กองกลาง","140.00","ตาม ฿140","10500.00","10500.00","0"
"488","17/8/2569 03:53:45","ลงกอง","แนน","กองกลาง","140.00","ตาม ฿140","10500.00","10500.00","0"
"489","17/8/2569 03:54:01","ลงกอง","บอย","กองกลาง","140.00","ตาม ฿140","10500.00","10500.00","0"
"490","17/8/2569 03:57:04","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ขึ้นเป็น ฿60","10500.00","10500.00","0"
"491","17/8/2569 03:58:10","ลงกอง","อาร์ต","กองกลาง","120.00","ขึ้นเป็น ฿120","10500.00","10500.00","0"
"492","17/8/2569 03:58:58","ลงกอง","แนน","กองกลาง","120.00","ตาม ฿120","10500.00","10500.00","0"
"493","17/8/2569 03:59:15","ลงกอง","บอย","กองกลาง","120.00","ตาม ฿120","10500.00","10500.00","0"
"494","17/8/2569 04:02:37","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","10500.00","10500.00","0"
"495","17/8/2569 04:03:50","Admin เติมเงินให้","BANK","แนน","500.00","Admin เติมให้","11000.00","11000.00","0"
"496","17/8/2569 04:04:54","ลงกอง","แนน","กองกลาง","160.00","ขึ้นเป็น ฿160","11000.00","11000.00","0"
"497","17/8/2569 04:05:27","ลงกอง","บอย","กองกลาง","160.00","ตาม ฿160","11000.00","11000.00","0"
"498","17/8/2569 04:06:29","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿160","11000.00","11000.00","0"
"499","17/8/2569 04:07:37","รับเงินกองกลาง","กองกลาง","บอย","1820.00","","11000.00","11000.00","0"
"500","17/8/2569 04:10:37","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"501","17/8/2569 04:11:28","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"502","17/8/2569 04:11:52","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"503","17/8/2569 04:12:36","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"504","17/8/2569 04:12:51","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"505","17/8/2569 04:18:38","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","11000.00","11000.00","0"
"506","17/8/2569 04:19:10","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ตาม ฿60","11000.00","11000.00","0"
"507","17/8/2569 04:20:11","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","11000.00","11000.00","0"
"508","17/8/2569 04:20:26","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿60","11000.00","11000.00","0"
"509","17/8/2569 04:21:29","ลงกอง","บอย","กองกลาง","100.00","ขึ้นเป็น ฿100","11000.00","11000.00","0"
"510","17/8/2569 04:22:31","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿100","11000.00","11000.00","0"
"511","17/8/2569 04:23:32","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿100","11000.00","11000.00","0"
"512","17/8/2569 04:24:45","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿100","11000.00","11000.00","0"
"513","17/8/2569 04:28:44","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ขึ้นเป็น ฿40","11000.00","11000.00","0"
"514","17/8/2569 04:29:05","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","11000.00","11000.00","0"
"515","17/8/2569 04:29:26","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿40","11000.00","11000.00","0"
"516","17/8/2569 04:30:36","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","11000.00","11000.00","0"
"517","17/8/2569 04:31:50","รับเงินกองกลาง","กองกลาง","มิ้นท์","920.00","","11000.00","11000.00","0"
"518","17/8/2569 04:33:58","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"519","17/8/2569 04:34:40","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"520","17/8/2569 04:35:24","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"521","17/8/2569 04:35:59","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"522","17/8/2569 04:36:42","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","11000.00","11000.00","0"
"523","17/8/2569 04:39:07","ลงกอง","บอย","กองกลาง","60.00","ขึ้นเป็น ฿60","11000.00","11000.00","0"
"524","17/8/2569 04:40:16","ลงกอง","มิ้นท์","กองกลาง","120.00","ขึ้นเป็น ฿120","11000.00","11000.00","0"
"525","17/8/2569 04:40:31","ลงกอง","ป๋องแป๋ง","กองกลาง","120.00","ตาม ฿120","11000.00","11000.00","0"
"526","17/8/2569 04:41:06","Admin เติมเงินให้","BANK","อาร์ต","500.00","Admin เติมให้","11500.00","11500.00","0"
"527","17/8/2569 04:42:22","ลงกอง","อาร์ต","กองกลาง","120.00","ตาม ฿120","11500.00","11500.00","0"
"528","17/8/2569 04:42:38","ลงกอง","แนน","กองกลาง","120.00","ตาม ฿120","11500.00","11500.00","0"
"529","17/8/2569 04:43:22","ลงกอง","บอย","กองกลาง","60.00","ตาม ฿120","11500.00","11500.00","0"
"530","17/8/2569 04:44:26","ลงกอง","มิ้นท์","กองกลาง","40.00","ขึ้นเป็น ฿40","11500.00","11500.00","0"
"531","17/8/2569 04:45:43","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","11500.00","11500.00","0"
"532","17/8/2569 04:46:22","ลงกอง","อาร์ต","กองกลาง","40.00","ตาม ฿40","11500.00","11500.00","0"
"533","17/8/2569 04:47:03","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","11500.00","11500.00","0"
"534","17/8/2569 04:48:02","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿40","11500.00","11500.00","0"
"535","17/8/2569 04:54:27","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","11500.00","11500.00","0"
"536","17/8/2569 04:56:12","เติมเงิน (อนุมัติแล้ว)","BANK","แนน","500.00","ขอเติมเงิน","12000.00","12000.00","0"
"537","17/8/2569 04:56:55","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","12000.00","12000.00","0"
"538","17/8/2569 04:57:39","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","12000.00","12000.00","0"
"539","17/8/2569 04:58:36","ลงกอง","มิ้นท์","กองกลาง","180.00","ขึ้นเป็น ฿180","12000.00","12000.00","0"
"540","17/8/2569 04:59:31","ลงกอง","ป๋องแป๋ง","กองกลาง","180.00","ตาม ฿180","12000.00","12000.00","0"
"541","17/8/2569 05:00:17","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿180","12000.00","12000.00","0"
"542","17/8/2569 05:01:31","ลงกอง","แนน","กองกลาง","80.00","ตาม ฿180","12000.00","12000.00","0"
"543","17/8/2569 05:01:40","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿180","12000.00","12000.00","0"
"544","17/8/2569 05:02:23","รับเงินกองกลาง","กองกลาง","มิ้นท์","1000.00","","0.00","0.00","0"
"545","17/8/2569 05:02:23","รับเงินกองกลาง","กองกลาง","บอย","1000.00","","12000.00","12000.00","0"
"546","17/8/2569 05:03:25","ลงกองกลาง","อาร์ต","กองกลาง","60.00","ลงกองกลาง","12000.00","12000.00","0"
"547","17/8/2569 05:03:48","ลงกองกลาง","แนน","กองกลาง","60.00","ลงกองกลาง","12000.00","12000.00","0"
"548","17/8/2569 05:04:45","ลงกองกลาง","บอย","กองกลาง","60.00","ลงกองกลาง","12000.00","12000.00","0"
"549","17/8/2569 05:06:01","ลงกองกลาง","มิ้นท์","กองกลาง","60.00","ลงกองกลาง","12000.00","12000.00","0"
"550","17/8/2569 05:06:50","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","60.00","ลงกองกลาง","12000.00","12000.00","0"
